Dim_Marcas;Precio;A&P
Mombasa Club Gin;15,34 €;2,00 €
Mombasa Club Gin 2L;38,15 €;5,40 €
Mombasa Colonel´s Reserve;21,45 €;3,25 €
Mombasa Strawberry;13,55 €;2,26 €
Mombasa Lemon;13,55 €;2,26 €
Mombasa Purple Edition;13,55 €;2,26 €
Mezcal Akul Joven;27,99 €;2,00 €
Tequila Aguas Buenas Silver;8,05 €;0,30 €
Tequila Aguas Buenas Golden ;8,24 €;0,30 €
Licor de Tequila Cuirass Nube Azul ;7,66 €;0,80 €
Licor de Tequila Cuirass Rose ;7,66 €;0,80 €
Licor de Tequila Cuirass Mango  ;7,66 €;0,80 €
Licor de Tequila Cuirass Sandía;7,66 €;0,80 €
Licor de Tequila Cuirass Mango;7,66 €;0,80 €
Ron Millonario Kuitchi;17,47 €;1,80 €
Ron Millonario 10 Aniversario;19,47 €;2,00 €
Ron Millonario 10 50º;23,33 €;2,00 €
Ron Millonario 15 Solera;28,48 €;3,00 €
Ron Millonario XO;55,81 €;5,00 €
Palomo Cojo DO Rueda;4,40 €;0,80 €
Palomo Cojo MAGNUM DO Rueda;8,64 €;1,15 €
Palomo Cojo Semi Dulce DO Rueda.;4,25 €;0,71 €
Palomo Cojo Fermentado en Barrica ;6,85 €;0,71 €
Pato Mareao DO Rias Baixas;7,15 €;0,73 €
Laberinto de Cidonia D.O.Monterrei;6,14 €;0,64 €
Palomo Cazador DO Ribera del Duero;5,12 €;0,68 €
Palomo Cazador   Magnum;9,95 €;0,95 €
Mataveras 14 DO Ribera del Duero;8,80 €;0,94 €
Mataveras Roble 9 ;6,59 €;0,90 €
Acecho Crianza DOC Rioja ;5,10 €;0,70 €
Lagar de Aso Joven *** DO Rioja;1,73 €; -   € 
Lagar de Aso Crianza *** DO Rioja;2,17 €; -   € 
Limoncello 0,70 cl;6,98 €; -   € 
Amaretto Giulietta;5,52 €; -   € 
Diavolo Nero;9,98 €; -   € 
Martinica Liqueur;10,43 €;2,10 €
Vermut La Garita;6,99 €;1,00 €
Siropes;8,00 €;0,75 €
Purés;9,96 €;1,00 €
Amarena;10,58 €; -   € 
Spritz SANTERO lata;2,08 €;0,30 €
Spritz SANTERO Botellin;3,15 €;0,45 €
Castro&Sil;6,45 €;1,10 €
Licor Pistacho;8,42 €; -   € 
